age,natural_mort,fishing_mort,total_mort,survival_prob
1,0.5,0,0.5,0.60653066
2,0.44,0,0.44,0.644036421
3,0.3,0,0.3,0.740818221
4,0.2,0,0.2,0.818730753
5,0.1,0.014,0.114,0.892257956
6,0.1,0.014,0.114,0.892257956
7,0.1,0.014,0.114,0.892257956
8,0.1,0.014,0.114,0.892257956
9,0.1,0.014,0.114,0.892257956
10,0.1,0.014,0.114,0.892257956
11,0.1,0.014,0.114,0.892257956
12,0.1,0.014,0.114,0.892257956
13,0.1,0.014,0.114,0.892257956
14,0.1,0.014,0.114,0.892257956
15,0.1,0.014,0.114,0.892257956
16,0.1,0.014,0.114,0.892257956
17,0.1,0.014,0.114,0.892257956
18,0.1,0.014,0.114,0.892257956
19,0.1,0.014,0.114,0.892257956
20,0.1,0.014,0.114,0.892257956
21,0.1,0.014,0.114,0.892257956
22,0.1,0.014,0.114,0.892257956
23,0.1,0.014,0.114,0.892257956
24,0.1,0.014,0.114,0.892257956
25,0.1,0.014,0.114,0.892257956
26,0.1,0.014,0.114,0.892257956
27,0.1,0.014,0.114,0.892257956
28,0.1,0.014,0.114,0.892257956
29,0.1,0.014,0.114,0.892257956
30,0.1,0.014,0.114,0.892257956
31,0.1,0,0.1,0.904837418
32,0.1,0,0.1,0.904837418
33,0.1,0,0.1,0.904837418
34,0.1,0,0.1,0.904837418
35,0.11,0,0.11,0.895834135
36,0.11,0,0.11,0.895834135
37,0.11,0,0.11,0.895834135
38,0.12,0,0.12,0.886920437
39,0.12,0,0.12,0.886920437
40,0.12,0,0.12,0.886920437
41,0.12,0,0.12,0.886920437
42,0.13,0,0.13,0.878095431
43,0.13,0,0.13,0.878095431
44,0.13,0,0.13,0.878095431
45,0.14,0,0.14,0.869358235
46,0.14,0,0.14,0.869358235
47,0.14,0,0.14,0.869358235
48,0.15,0,0.15,0.860707976
49,0.15,0,0.15,0.860707976
50,0.16,0,0.16,0.852143789
51,0.16,0,0.16,0.852143789
52,0.17,0,0.17,0.843664817
53,0.17,0,0.17,0.843664817
54,0.18,0,0.18,0.835270211
55,0.18,0,0.18,0.835270211
56,0.19,0,0.19,0.826959134
57,0.19,0,0.19,0.826959134
58,0.19,0,0.19,0.826959134
59,0.2,0,0.2,0.818730753
60,0.2,0,0.2,0.818730753
61,0.2,0,0.2,0.818730753
