"age","S_a","b_a"
0,0.60653066,0
1,0.644036421,0
2,0.740818221,0
3,0.818730753,0
4,0.892257956,0
5,0.892257956,0
6,0.892257956,0
7,0.892257956,0
8,0.892257956,0
9,0.892257956,0.25
10,0.892257956,0.25
11,0.892257956,0.25
12,0.892257956,0.525
13,0.892257956,0.525
14,0.892257956,0.525
15,0.892257956,1.1
16,0.892257956,1.1
17,0.892257956,1.1
18,0.892257956,1.75
19,0.892257956,1.75
20,0.892257956,1.75
21,0.892257956,2.2
22,0.892257956,2.2
23,0.892257956,2.2
24,0.892257956,2.2
25,0.892257956,2.2
26,0.892257956,2.2
27,0.892257956,2.75
28,0.892257956,2.75
29,0.892257956,2.75
30,0.904837418,2.75
31,0.904837418,2.75
32,0.904837418,2.75
33,0.904837418,2.75
34,0.895834135,2.75
35,0.895834135,2.75
36,0.895834135,2.75
37,0.886920437,2.75
38,0.886920437,2.75
39,0.886920437,2.75
40,0.886920437,2.75
41,0.878095431,2.75
42,0.878095431,2.75
43,0.878095431,2.75
44,0.869358235,2.75
45,0.869358235,2.75
46,0.869358235,2.75
47,0.860707976,2.75
48,0.860707976,2.75
49,0.852143789,2.75
50,0.852143789,2.75
51,0.843664817,2.75
52,0.843664817,2.75
53,0.835270211,2.75
54,0.835270211,2.75
55,0.826959134,2.75
56,0.826959134,2.75
57,0.826959134,2.75
58,0.818730753,2.75
59,0.818730753,2.75
60,0.818730753,2.75
